"","Case","Record type","Case stage","Case before","Filing party","Document date","Filing date","Filing number","Document reference","Original language","Number of pages","File size","Langue Document","Titre","URL"
"2568","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","18-08-2015","18-08-2015",NA,NA,"English","1","50.29 KB","ENGLISH","Decision Delivered in Court on 18/08/2015: Decision Qualifying Mr Philips (PRH435) as an Expert under Rule 161 in the Field of Telecommunications and Cell Site","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150818_DECISION_DELIVERED_IN_COURT_ON_THE_QUALIFICATION_OF_EXPERT_WITNESSES_p8_line6_EN.pdf"
"2569","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","18-08-2015","18-08-2015",NA,NA,"English","2","113.9 KB","FRANÇAIS","Decision Delivered in Court on 18/08/2015: Decision Qualifying Mr Philips (PRH435) as an Expert under Rule 161 in the Field of Telecommunications and Cell Site","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150818_DECISION_DELIVERED_IN_COURT_ON_THE_QUALIFICATION_OF_EXPERT_WITNESSES_p8_L12_FR.pdf"
"2570","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","18-08-2015","18-08-2015",NA,NA,"English","2","164.91 KB","عربي","Decision Delivered in Court on 18/08/2015: Decision Qualifying Mr Philips (PRH435) as an Expert under Rule 161 in the Field of Telecommunications and Cell Site","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150818_DECISION_DELIVERED_IN_COURT_ON_THE_QUALIFICATION_OF_EXPERT_WITNESSES_P4_L11_L18_AR.pdf"
"2571","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","18-08-2015","18-08-2015",NA,NA,"English","1","49.4 KB","ENGLISH","Decision Delivered in Court on 18/08/2015: Decision Qualifying Mr Philips (PRH435) as an Expert under Rule 161 in the Field of GSM","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150818_DECISION_DELIVERED_IN_COURT_ON_THE_QUALIFICATION_OF_EXPERT_WITNESSES_p38_line21_EN.pdf"
"2572","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","18-08-2015","18-08-2015",NA,NA,"English","1","109.05 KB","FRANÇAIS","Decision Delivered in Court on 18/08/2015: Decision Qualifying Mr Philips (PRH435) as an Expert under Rule 161 in the Field of GSM","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180818_DECISION_DELIVERED_IN_COURT_ON_THE_QUALIFICATION_OF_EXPERT_WITNESSES_p40_L1_FR.pdf"
"2573","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","18-08-2015","18-08-2015",NA,NA,"English","1","156.57 KB","عربي","Decision Delivered in Court on 18/08/2015: Decision Qualifying Mr Philips (PRH435) as an Expert under Rule 161 in the Field of GSM","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150818_DECISION_DELIVERED_IN_COURT_ON_THE_QUALIFICATION_OF_EXPERT_WITNESSES_P19_L25_P20_L2_AR.pdf"
"2574","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","17-08-2015","17-08-2015","F2122","STL-11-01/T/TC/F2122/20150817/R276812-R276820/EN/af","English","9","274.53 KB","ENGLISH","Prosecution Motion for the Admission of Evidence Related to the Locations of Dahieh and Syrian Military Intelligence Detachments in Lebanon","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150817_F2122_PUBLIC_OTP_Mot_Admis_Evid_re_Dahieh_Intellig_Leban_EN_Web.pdf"
"2575","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","17-08-2015","30-11--0001","F2122",NA,"English","2","134.05 KB","ANNEX A","Prosecution Motion for the Admission of Evidence Related to the Locations of Dahieh and Syrian Military Intelligence Detachments in Lebanon","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150817_F2122_A01_PUBLIC_OTP_Mot_Admis_Evid_re_Dahieh_Intellig_Leban_EN_Web.pdf"
"2576","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","17-08-2015","30-11--0001","F2122",NA,"English","2","145.76 KB","ANNEX B","Prosecution Motion for the Admission of Evidence Related to the Locations of Dahieh and Syrian Military Intelligence Detachments in Lebanon","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150817_F2122_A02_PUBLIC_OTP_Mot_Admis_Evid_re_Dahieh_Intellig_Leban_EN_Web.pdf"
"2577","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Prosecution","14-08-2015","14-08-2015","F2121","STL-11-01/T/TC/F2121/20150814/R276787-R276788/EN/dm","English","2","103.06 KB","ENGLISH","Prosecution Witness Schedule for the Weeks Commencing 17 and 24 August 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150814_F2121_PUBLIC_OTP_Witness_Sched_Week_Commence_1724August2015_Filed_EN_Joomla.pdf"
"2578","Ayyash et al. (STL-11-01)","Decision","Trial","Pre-trial judge","Pre Trial Judge","13-08-2015","13-08-2015","F2120","STL-11-01/T/PTJ/F2120/20150813/R276722-R276724/FR/dm","Français","3","163.05 KB","FRANÇAIS","Order Lifting the Confidentiality of the Decision of 2 September 2013","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150819_F2120_PUBLIC_PTJ_Order_Levant_Conf_FR-EN_Web.pdf"
"2579","Ayyash et al. (STL-11-01)","Decision","Trial","Pre-trial judge","Pre Trial Judge","13-08-2015","19-08-2015","F2120","STL-11-01/T/PTJ/F2120/20150819/R277001-R277003/FR-AR/dm","Français","3","1001.33 KB","عربي","Order Lifting the Confidentiality of the Decision of 2 September 2013","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150819_F2120_PUBLIC_PTJ_Order_Levant_Conf_FR-AR_Web.pdf"
"2580","Ayyash et al. (STL-11-01)","Submission","Trial","Trial chamber","Prosecution","12-08-2015","12-08-2015","F2119","STL-11-01/T/TC/F2119/20150812/R276677-R276679/EN/dm","English","3","128.67 KB","ENGLISH","Resubmission of Statements Pursuant to “Decision on ‘Prosecution Motion for the Admission of Locations Related Evidence’”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150812_F2119_PUBLIC_OTP_ReSub_Stat_Purs_TC_Dec_Filed_EN_Joomla.pdf"
"2581","Ayyash et al. (STL-11-01)","Application","Trial","Trial chamber","Other","12-08-2015","12-08-2015","F2059","STL-11-01/T/TC/F2059/PRV/20150812/R276682-R276688/EN/af","English","7","486.99 KB","ENGLISH","Public Redacted Version of “Application for Certification for the Appeal of the Trial Chamber Decision Dated 1 July 2015, Pursuant to Rule 126” Dated 8 July 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150812_F2059_PUBLIC_PRV_TP_Appli_for_Cert_TC_Dec_1July2015_EN_Web.pdf"
"2582","Ayyash et al. (STL-11-01)","Application","Trial","Appeals chamber","Other","12-08-2015","12-08-2015","F2068","STL-11-01/T/AC/F2068/PRV/20150812/R276689-R276704/EN/af","English","16","1.1 MB","ENGLISH","Public Redacted Version of “Application to Appeal Pursuant to Inherent Jurisdiction Made on Behalf of Witness PRH012” Dated 9 July 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150812_F2068_PUBLIC_PRV_TP_Appli_to_Appl_Purs_Juris_Made_Witness_PRH012_EN_Web.pdf"
"2583","Ayyash et al. (STL-11-01)","Addendum / Supplement","Trial","Appeals chamber","Other","12-08-2015","12-08-2015","F2068","STL-11-01/T/AC/F2068/ADD/PRV/20150812/R276705-R276708/EN/af","English","4","288.5 KB","ENGLISH","Public Redacted Version of “Addendum to Application to Appeal Dated 9 July 2015 Pursuant to Inherent Jurisdiction” Dated 12 July 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150812_F2068_PUBLIC_ADD_PRV_TP_Appli_Appl_Purs_Juris_Made_Witness_PRH012_EN_Web.pdf"
"2584","Ayyash et al. (STL-11-01)","Notice / Notification","Trial","Trial chamber","Counsel","10-08-2015","10-08-2015","F2118","STL-11-01/T/TC/F2118/20150810/R276656-R276658/EN/dm","English","3","219.28 KB","ENGLISH","Eighth Notice to “Decision on Updated Request for a Finding of Non-Compliance”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150810_F2118_PUBLIC_Sabra_Eight_Notice_Filed_EN_Joomla.pdf"
"2585","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Counsel","10-08-2015","10-08-2015","F2064","STL-11-01/T/TC/F2064/PRV/20150810/R276643-R276650/EN/dm","English","8","588.25 KB","ENGLISH","Public Redacted Version of ‘Badreddine Defence Response to the Prosecution Motion for Admission of the Statements of PRH045’","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150810_F2064_PUBLIC_PRV_Badred_Resp_OTP_Mot_Filed_EN_Joomla.pdf"
"2586","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Counsel","10-08-2015","10-08-2015","F2117","STL-11-01/T/TC/F2117/20150810/R276651-R276655/EN/dm","English","5","398.65 KB","ENGLISH","Consolidated Badreddine Defence Response to Prosecution Motions for Protective Measures and Testimony by Video-Conference Link","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150810_F2117_PUBLIC_Badred_Cons_Resp_OTP_Mot_Filed_EN_Joomla.pdf"
"2587","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Prosecution","07-08-2015","07-08-2015","F2114","STL-11-01/T/TC/F2114/20150807/R276628-R276629/EN/dm","English","2","150.97 KB","ENGLISH","Prosecution Witness Schedule for the Week Commencing 17 August 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150807_F2114_PUBLIC_OTP_Witness_Sched_Week_Commence_17August2015_Filed_EN_Joomla.pdf"
"2588","Ayyash et al. (STL-11-01)","Notice / Notification","Trial","Trial chamber","Prosecution","07-08-2015","07-08-2015","F2116","STL-11-01/T/TC/F2116/20150807/R276639-R276640/EN/dm","English","2","141.41 KB","ENGLISH","Notice of Change of Classification of Filing","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150807_F2116_PUBLIC_OTP_Not_Reclass_Filed_EN_Joomla.pdf"
"2589","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","06-08-2015","06-08-2015","F2112","STL-11-01/T/TC/F2112/20150806/R276586-R276592/EN/af","English","7","573.45 KB","ENGLISH","Prosecution Motion for Protective Measures for PRH493, PRH292, PRH094, PRH107, PRH013, PRH090 and PRH416","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150806_F2112_PUBLIC_OTP_Mot_Protect_Meas_PRH493_292_094_107_013_090_4167_EN_Web.pdf"
"2590","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","06-08-2015","30-11--0001","F2112",NA,"English","2","111.02 KB","ANNEX A","Prosecution Motion for Protective Measures for PRH493, PRH292, PRH094, PRH107, PRH013, PRH090 and PRH416","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150806_F2112_A01_PUBLIC_OTP_Mot_Protect_Meas_PRH493_292_094_107_013_090_416_EN_Web.pdf"
"2591","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","06-08-2015","06-08-2015","F2111","STL-11-01/T/TC/F2111/20150806/R276580-R276583/EN/dm","English","4","337.95 KB","ENGLISH","Prosecution Motion for Authorisation of Video-Conference Link Testimony for PRH013","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150806_F2111_PUBLIC_OTP_Mot_Author_VCL_Test_PRH013_F20377_EN_LW_Web.pdf"
"2592","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","05-08-2015","05-08-2015","F2042","STL-11-01/T/TC/F2042/PRV/20150805/R276550-R276554/EN/dm","English","5","368.34 KB","ENGLISH","Redacted Version of the Prosecution Urgent Motion for Authorisation of Video-Conference Link Testimony for PRH012, dated 2 July 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150805_F2042_PUBLIC_PRV_OTP_Urgent_Mot_Video_Conf_Testimon_PRH012_EN_Web.pdf"
"2593","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Counsel","05-08-2015","05-08-2015","F2104","STL-11-01/T/TC/F2104/20150805/R276517-R276529/EN/dm","English","13","934.55 KB","ENGLISH","Sabra Defence Response to “Prosecution Rule 154 Motion for the Admission of Documents Relating to Telephone Subscriber and User Information”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150805_F2104_PUBLIC_Sabra_Resp_OTP_Mot_R154_Admis_Docs_EN_Web.pdf"
"2594","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Counsel","05-08-2015","05-08-2015","F2107","STL-11-01/T/TC/F2107/20150805/R276557-R276560/EN/af","English","4","123.43 KB","ENGLISH","Ayyash Defence Response to “Prosecution Rule 154 Motion for the Admission of Documents Relating to Telephone Subscriber and User Information”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150805_F2107_PUBLIC_Ayyash_Resp_R154_Admis_Docs_re_Tel_Sub_EN_Web.pdf"
"2595","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Counsel","05-08-2015","05-08-2015","F2108","STL-11-01/T/TC/F2108/20150805/R276561-R276563/EN/af","English","3","117.97 KB","ENGLISH","Ayyash Defence Response to “Prosecution Motion for Authorisation of Video-Conference Link Testimony for PRH067, PRH089, PRH553, PRH032, PRH090”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150805_F2108_PUBLIC_Ayyash_Resp_VTC_Link_Test_PRH067_089_553_032_090_EN_Web.pdf"
"2596","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Counsel","05-08-2015","05-08-2015","F2109","STL-11-01/T/TC/F2109/20150805/R276564-R276567/FR/dm","Français","4","353.37 KB","FRANÇAIS","Merhi Defence Response to the “Prosecution Rule 154 Motion for the Admission of Documents Relating to Telephone Subscriber and User Information”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150805_F2109_PUBLIC_Merhi_Resp_R154_Admis_Docs_re_Tel_Sub_FR_Web.pdf"
"2597","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Counsel","05-08-2015","11-08-2015","F2109","STL-11-01/T/TC/F2109/20150811/R276663-R276666/FR-EN/dm","Français","4","333.2 KB","ENGLISH","Merhi Defence Response to the “Prosecution Rule 154 Motion for the Admission of Documents Relating to Telephone Subscriber and User Information”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150811_F2109_PUBLIC_Merhi_Resp_R154_Admis_Docs_re_Tel_Sub_FR-EN_Web.pdf"
"2598","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Counsel","05-08-2015","05-08-2015","F2110","STL-11-01/T/TC/F2110/20150805/R276568-R276579/EN/dm","English","12","950.29 KB","ENGLISH","Badreddine Defence Response to the “Prosecution Rule 154 Motion for the Admission of Documents Relating to Telephone Subscriber and User Information”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150805_F2110_PUBLIC_Badred_Resp_R154_Admis_Docs_re_Tel_Sub_EN_Web.pdf"
"2599","Ayyash et al. (STL-11-01)","Notice / Notification","Trial","Trial chamber","Prosecution","05-08-2015","05-08-2015","F2105","STL-11-01/T/TC/F2105/20150805/R276530-R276532/EN/dm","English","3","184.05 KB","ENGLISH","Notice of Change of Classification of Prosecution Urgent Motion for Protective Measures for PRH012 dated 10 July 2015, from Confidential to Public","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150805_F2105_PUBLIC_OTP_Not_Reclass_EN_Web.pdf"
"2600","Ayyash et al. (STL-11-01)","Notice / Notification","Trial","Trial chamber","Prosecution","05-08-2015","05-08-2015","F2106","STL-11-01/T/TC/F2106/20150805/R276555-R276556/EN/dm","English","2","171.2 KB","ENGLISH","Notice of Change of Classification of Prosecution Submissions on Written Submission on Behalf of Witness PRH012 in Opposition to the Prosecutor’s Application dated 26 May 2015 for a Summons to Appear dated 25 June 2015 (...)","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150805_F2106_PUBLIC_OTP_Not_Reclass_EN_Web.pdf"
"2601","Ayyash et al. (STL-11-01)","Application","Trial","Trial chamber","Prosecution","05-08-2015","05-08-2015","F1966","STL-11-01/T/TC/F1966/PRV/20150805/R276544-R276549/EN/dm","English","6","451.33 KB","ENGLISH","Redacted Version of the Application for a Summons to Appear in respect of Witness PRH012, dated 26 May 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150805_F1966_PUBLIC_PRV_OTP_App_Summ_Appear_PRH012_EN_Web.pdf"
"2602","Ayyash et al. (STL-11-01)","Decision","Trial","Appeals chamber","Appeals Chamber","28-07-2015","28-07-2015","F0007-AR126.9","STL-11-01/T/AC/AR126.9/F0007-AR126.9/20150728/R001136-R001176/EN/dm","English","41","1.35 MB","ENGLISH","Decision on Appeal by Counsel for Mr Oneissi Against the Trial Chamber's Decision on the Legality of the Transfer of Call Data Records","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150728_F0007_PUBLIC_AC_Dec_Appeal_Filed_EN_Joomla.pdf"
"2603","Ayyash et al. (STL-11-01)","Decision","Trial","Appeals chamber","Appeals Chamber","28-07-2015","22-12-2015","F0007-AR126.9","STL-11-01/T/AC/AR126.9/F0007-AR126.9/20151222/R001180-R001225/EN-FR/af","English","46","1.58 MB","FRANÇAIS","Decision on Appeal by Counsel for Mr Oneissi Against the Trial Chamber's Decision on the Legality of the Transfer of Call Data Records","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20151222_F0007_PUBLIC_AC_Dec_Appeal_EN-FR_Web.pdf"
"2604","Ayyash et al. (STL-11-01)","Decision","Trial","Appeals chamber","Appeals Chamber","28-07-2015","28-07-2015","F2102","STL-11-01/T/AC/F2102/20150728/R276466-R276492/EN/dm","English","27","835.94 KB","ENGLISH","Reasons for Decision on Applications Filed by Counsel for Witness PRH012 and Order on Confidentiality","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150728_F2102_PUBLIC_AC_Reasons_Dec_App_PRH012_EN_Web.pdf"
"2605","Ayyash et al. (STL-11-01)","Decision","Trial","Appeals chamber","Appeals Chamber","28-07-2015","24-09-2015","F2102","STL-11-01/T/AC/F2102/20150924/R278493-R278521/EN-AR/dm","English","29","10.43 MB","عربي","Reasons for Decision on Applications Filed by Counsel for Witness PRH012 and Order on Confidentiality","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150924_F2102_PUBLIC_AC_Reasons_Dec_App_PRH012_EN-AR_Web.pdf"
"2606","Ayyash et al. (STL-11-01)","Decision","Trial","Appeals chamber","Appeals Chamber","28-07-2015","02-10-2015","F2102","STL-11-01/T/AC/F2102/20151002/R278905-R278933/EN-FR/dm","English","29","1.05 MB","FRANÇAIS","Reasons for Decision on Applications Filed by Counsel for Witness PRH012 and Order on Confidentiality","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20151002_F2102_PUBLIC_AC_Reasons_Dec_App_PRH012_EN-FR_Web.pdf"
"2607","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","24-07-2015","24-07-2015","F2097","STL-11-01/T/TC/F2097/20150724/R276390-R276394/EN/dm","English","5","396.38 KB","ENGLISH","Prosecution Motion for Authorisation of Video-Conference Link Testimony for PRH067, PRH089, PRH553, PRH032 and PRH090","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150724_F2097_PUBLIC_OTP_Mot_Autho_VTC_Link_Test_PRH067_089_553_032_090_EN_Web.pdf"
"2608","Ayyash et al. (STL-11-01)","Notice / Notification","Trial","Trial chamber","Counsel","24-07-2015","24-07-2015","F2101","STL-11-01/T/TC/F2101/20150724/R276435-R276437/EN/af","English","3","124.26 KB","ENGLISH","Seventh Notice to “Decision on Updated Request for a Finding of Non-Compliance”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150724_F2101_PUBLIC_Sabra_Seventh_Not_Dec_EN_LW_Web.pdf"
"2609","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","24-07-2015","24-07-2015","F2098","STL-11-01/T/TC/F2098/20150724/R276407-R276412/EN/af","English","6","209.34 KB","ENGLISH","Prosecution Motion for Protective Measures for PRH089, PRH264 and PRH306","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150724_F2098_PUBLIC_OTP_Protect_Meas_for_PRH089_PRH264_PRH306_EN_Web.pdf"
"2610","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","24-07-2015","30-11--0001","F2098",NA,"English","2","75.99 KB","ANNEX A","Prosecution Motion for Protective Measures for PRH089, PRH264 and PRH306","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150724_F2098_A01_PUBLIC_OTP_Protect_Meas_for_PRH089_PRH264_PRH306_EN_Web.pdf"
"2611","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","24-07-2015","24-07-2015","F2100","STL-11-01/T/TC/F2100/20150724/R276438-R276444/EN/dm","English","7","504.97 KB","ENGLISH","Decision on Prosecution Motion to Admit the Statements of Deceased Witness PRH045","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150724_F2100_PUBLIC_TC_OTP_Mot_Deceased_PRH045_EN_Web.pdf"
"2612","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","24-07-2015","02-09-2015","F2100","STL-11-01/T/TC/F2100/20150902/R277633-R277639/EN-AR/af","English","7","2.77 MB","عربي","Decision on Prosecution Motion to Admit the Statements of Deceased Witness PRH045","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150902_F2100_PUBLIC_TC_OTP_Mot_Deceased_PRH045_EN-AR_Web.pdf"
"2613","Ayyash et al. (STL-11-01)","Request","Trial","Trial chamber","Registry","23-07-2015","23-07-2015","F2093","STL-11-01/T/TC/F2093/20150723/R276363-R276367/EN/dm","English","5","360.48 KB","ENGLISH","Request of the Legal Representative of Victims for a Variation of the Terms of Protective Measures Granted for Victims V054 and V055","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150723_F2093_PUBLIC_LRV_Req_Var_Prot_Meas_V54_V55_EN_Web.pdf"
"2614","Ayyash et al. (STL-11-01)","Notice / Notification","Trial","Trial chamber","Counsel","23-07-2015","23-07-2015","F2092","STL-11-01/T/TC/F2092/20150723/R276351-R276352/EN/dm","English","2","135.25 KB","ENGLISH","Notice of Disclosure of Correspondence Regarding 5 SMS Messages","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150723_F2092_PUBLIC_Sabra_Notice_Disc_Corresp_re_5_SMS_EN_Web.pdf"
"2615","Ayyash et al. (STL-11-01)","Notice / Notification","Trial","Trial chamber","Counsel","23-07-2015","30-11--0001","F2092",NA,"English","5","166.72 KB","ANNEX A","Notice of Disclosure of Correspondence Regarding 5 SMS Messages","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150723_F2092_PUBLIC_PRV_A01_Sabra_Notice_Disc_Corresp_re_5_SMS_EN_Web.pdf"
"2616","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","22-07-2015","22-07-2015","F2089","STL-11-01/T/TC/F2089/20150722/R276317-R276320/EN/af","English","4","252.47 KB","ENGLISH","Prosecution Motion to Admit a Set of 62 Photographs","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150722_F2089_OTP_Mot_to_Admit_Set_of_62_Photographs_EN_Web.pdf"
"2617","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","22-07-2015","30-11--0001","F2089",NA,"English","2","81.06 KB","ANNEX A","Prosecution Motion to Admit a Set of 62 Photographs","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150722_F2089_A01_OTP_Mot_to_Admit_Set_of_62_Photographs_EN_Web.pdf"
"2618","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Counsel","22-07-2015","30-11--0001","F2045",NA,"English","3","180.44 KB","ANNEX A","Public Redacted Version of Annex A to “Sabra Urgent Disclosure Motion Re PRH430” Dated 3 July 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150722_F2045_PUBLIC_PRV_A01_Sabra_Urg_Disc_Mot_PRH430_EN_Web.pdf"
"2619","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Counsel","22-07-2015","30-11--0001","F2045",NA,"English","2","152.61 KB","ANNEX B","Public Redacted Version of Annex B to “Sabra Urgent Disclosure Motion Re PRH430” Dated 3 July 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150722_F2045_PUBLIC_PRV_A02_Sabra_Urg_Disc_Mot_PRH430_EN_Web.pdf"
"2620","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Counsel","22-07-2015","30-11--0001","F2045",NA,"English","3","192.89 KB","ANNEX C","Public Redacted Version of Annex C to “Sabra Urgent Disclosure Motion Re PRH430” Dated 3 July 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150722_F2045_PUBLIC_PRV_A03_Sabra_Urg_Disc_Mot_PRH430_EN_Web.pdf"
"2621","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Counsel","22-07-2015","30-11--0001","F2045",NA,"English","3","203.96 KB","ANNEX D","Public Redacted Version of Annex D to “Sabra Urgent Disclosure Motion Re PRH430” Dated 3 July 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150722_F2045_PUBLIC_PRV_A04_Sabra_Urg_Disc_Mot_PRH430_EN_Web.pdf"
"2622","Ayyash et al. (STL-11-01)","Submission","Trial","Trial chamber","Prosecution","22-07-2015","22-07-2015","F2090","STL-11-01/T/TC/F2090/20150722/R276334-R276337/EN/dm","English","4","303.55 KB","ENGLISH","Prosecution Rule 91 Submission for Two Expert Reports from PRH435 on the Operation of Three Phone Groups","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150722_F2090_OTP_R91_Sub_Two_Expert_Reports_PRH435_EN_Web.pdf"
"2623","Ayyash et al. (STL-11-01)","Submission","Trial","Trial chamber","Prosecution","22-07-2015","30-11--0001","F2090",NA,"English","2","72.36 KB","ANNEX A","Prosecution Rule 91 Submission for Two Expert Reports from PRH435 on the Operation of Three Phone Groups","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150722_F2090_A01_OTP_R91_Sub_Two_Expert_Reports_PRH435_EN_Web.pdf"
"2624","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","21-07-2015","21-07-2015","F2086","STL-11-01/T/TC/F2086/20150721/R276267-R276284/EN/dm","English","18","1.24 MB","ENGLISH","Prosecution Rule 154 Motion for the Admission of Documents Relating to Telephone Subscriber and User Information","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150721_F2086_PUBLIC_OTP_Mot_R154_Admis_Docs_re_Tel_Sub_EN_Web.pdf"
"2625","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Counsel","21-07-2015","21-07-2015","F2088","STL-11-01/T/TC/F2088/20150721/R276313-R276314/EN/dm","English","2","133.13 KB","ENGLISH","Reasons for the Classification of the Annexes to “Sabra Urgent Disclosure Motion re PRH430”, Dated 3 July 2015, as Confidential","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150721_F2088_PUBLIC_Sabra_Reas_Reclass_EN_Web.pdf"
"2626","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","21-07-2015","21-07-2015","F2087","STL-11-01/T/TC/F2087/20150721/R276309-R276310/EN/dm","English","2","281.5 KB","ENGLISH","Order to Redact the Public Transcript and or the Public Broadcast of a Hearing Held on 21 July 2015","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20150721_F2087_PUBLIC_TC_Order_Redact_Trans_21July2015_EN_Web.pdf"
